return-period,upper,lower
1150,102.51240608676258,86.1905646886812
1151,102.52212662779803,86.19858710135813
1152,102.53183830975983,86.20660196148121
1153,102.54154114840814,86.21460928271297
1154,102.5512351594566,86.22260907867529
1155,102.56092035857873,86.23060136295497
1156,102.57059676140915,86.23858614910442
1157,102.58026438353566,86.24656345063542
1158,102.58992324051037,86.25453328102806
1159,102.59957334784339,86.26249565372578
1160,102.60921472100084,86.27045058213353
1161,102.61884737541158,86.27839807962359
1162,102.62847132646105,86.28633815953006
1163,102.6380865894993,86.294270835156
1164,102.64769317983037,86.30219611976432
1165,102.65729111272199,86.310114026586
1166,102.66688040339936,86.3180245688148
1167,102.67646106704886,86.32592775961045
1168,102.68603311882055,86.3338236121006
1169,102.6955965738189,86.3417121393734
1170,102.70515144711266,86.34959335448536
1171,102.7146977537312,86.35746727045864
1172,102.72423550866431,86.36533390028055
1173,102.73376472686145,86.37319325690333
1174,102.7432854232359,86.38104535324726
1175,102.7527976126583,86.38889020219548
1176,102.76230130996643,86.39672781660204
1177,102.77179652995451,86.40455820928312
1178,102.78128328738157,86.41238139302386
1179,102.79076159696498,86.42019738057317
1180,102.8002314733861,86.42800618464815
1181,102.80969293129095,86.435807817935
1182,102.81914598528417,86.44360229308374
1183,102.82859064993289,86.45138962271149
1184,102.8380269397676,86.45916981940331
1185,102.84745486928341,86.46694289571316
1186,102.85687445293345,86.47470886415842
1187,102.86628570513757,86.48246773722713
1188,102.8756886402771,86.49021952737372
1189,102.88508327269767,86.49796424702124
1190,102.89446961670569,86.50570190855855
1191,102.90384768657377,86.51343252434468
1192,102.91321749653441,86.5211561067039
1193,102.92257906078854,86.52887266793235
1194,102.93193239349601,86.53658222029063
1195,102.94127750878422,86.5442847760106
1196,102.95061442074157,86.55198034729027
1197,102.95994314342326,86.55966894629825
1198,102.96926369084748,86.567350585171
1199,102.97857607699538,86.57502527601248
1200,102.98788031581344,86.58269303089631
1201,102.99717642121446,86.5903538618665
1202,103.0064644070743,86.59800778093486
1203,103.01574428723292,86.60565480008175
1204,103.02501607549684,86.61329493125821
1205,103.03427978563742,86.62092818638446
1206,103.04353543138883,86.62855457734831
1207,103.05278302645505,86.63617411601093
1208,103.06202258450061,86.64378681419922
1209,103.07125411915769,86.65139268371156
1210,103.08047764402552,86.65899173631755
1211,103.08969317266566,86.66658398375387
1212,103.0989007186091,86.67416943773031
1213,103.1081002953512,86.68174810992559
1214,103.11729191635295,86.68932001198833
1215,103.12647559504192,86.69688515553791
1216,103.13565134481058,86.70444355216301
1217,103.14481917902171,86.71199521342618
1218,103.15397911100055,86.71954015085737
1219,103.16313115404202,86.72707837595972
1220,103.1722753214057,86.73460990020565
1221,103.18141162631852,86.74213473503895
1222,103.19054008197288,86.74965289187324
1223,103.19966070153367,86.75716438209791
1224,103.20877349812605,86.7646692170678
1225,103.21787848484696,86.77216740811289
1226,103.22697567476023,86.77965896653429
1227,103.23606508089482,86.78714390360255
1228,103.24514671624883,86.79462223056136
1229,103.2542205937892,86.80209395862693
1230,103.2632867264498,86.80955909898668
1231,103.27234512713271,86.81701766280007
1232,103.28139580870602,86.82446966119713
1233,103.29043878400832,86.83191510528182
1234,103.29947406584667,86.8393540061306
1235,103.30850166699479,86.84678637479075
1236,103.31752160019566,86.85421222228271
1237,103.32653387815967,86.86163155959845
1238,103.33553851356885,86.869044397705
1239,103.34453551907191,86.87645074754032
1240,103.35352490728546,86.88385062001434
1241,103.36250669079814,86.89124402601243
1242,103.37148088216422,86.89863097639004
1243,103.38044749390937,86.9060114819775
1244,103.38940653852724,86.91338555357721
1245,103.39835802848368,86.92075320196713
1246,103.40730197620876,86.92811443789414
1247,103.4162383941086,86.93546927208399
1248,103.42516729455298,86.94281771523076
1249,103.43408868988537,86.95015977800554
1250,103.44300259241692,86.95749547105105
1251,103.45190901443178,86.96482480498649
1252,103.46080796817938,86.97214779040078
1253,103.46969946588331,86.97946443786006
1254,103.47858351973623,86.98677475790358
1255,103.48746014190111,86.99407876104456
1256,103.49632934451101,87.00137645777012
1257,103.50519113967015,87.00866785854211
1258,103.51404553945368,87.01595297379703
1259,103.52289255590416,87.02323181394297
1260,103.53173220104063,87.03050438936724
1261,103.5405644868489,87.03777071042826
1262,103.54938942528746,87.04503078746053
